DATE;MAX_TEMP
2019-06-01;31
2019-06-02;30
2019-06-03;23
2019-06-04;26
2019-06-05;19
2019-06-06;20
2019-06-07;16
2019-06-08;19
2019-06-09;22
2019-06-10;18
2019-06-11;19
2019-06-12;18
2019-06-13;20
2019-06-14;24
2019-06-15;22
2019-06-16;22
2019-06-17;27
2019-06-18;28
2019-06-19;24
2019-06-20;22
2019-06-21;23
2019-06-22;25
2019-06-23;27
2019-06-24;31
2019-06-25;32
2019-06-26;33
2019-06-27;31
2019-06-28;31
2019-06-29;34
2019-06-30;29
2019-07-01;26
2019-07-02;26
2019-07-03;25
2019-07-04;28
2019-07-05;32
2019-07-06;31
2019-07-07;28
2019-07-08;23
2019-07-09;23
2019-07-10;27
2019-07-11;27
2019-07-12;25
2019-07-13;25
2019-07-14;23
2019-07-15;24
2019-07-16;27
2019-07-17;29
2019-07-18;24
2019-07-19;27
2019-07-20;26
2019-07-21;29
2019-07-22;35
2019-07-23;36
2019-07-24;38
2019-07-25;40
2019-07-26;30
2019-07-27;24
2019-07-28;23
2019-07-29;29
2019-07-30;24
2019-07-31;22
2019-08-01;28
2019-08-02;28
2019-08-03;26
2019-08-04;32
2019-08-05;28
2019-08-06;22
2019-08-07;26
2019-08-08;29
2019-08-09;27
2019-08-10;25
2019-08-11;22
2019-08-12;23
2019-08-13;21
2019-08-14;24
2019-08-15;23
2019-08-16;25
2019-08-17;20
2019-08-18;23
2019-08-19;23
2019-08-20;23
2019-08-21;26
2019-08-22;28
2019-08-23;28
2019-08-24;31
2019-08-25;37
2019-08-26;33
2019-08-27;34
2019-08-28;28
2019-08-29;26
2019-08-30;28
2019-08-31;30
2019-09-01;23
2019-09-02;24
2019-09-03;25
2019-09-04;23
2019-09-05;19
2019-09-06;22
2019-09-07;20
2019-09-08;19
2019-09-09;19
2019-09-10;23
2019-09-11;23
2019-09-12;24
2019-09-13;25
2019-09-14;28
2019-09-15;32
2019-09-16;22
2019-09-17;23
2019-09-18;19
2019-09-19;20
2019-09-20;23
2019-09-21;28
2019-09-22;22
2019-09-23;22
2019-09-24;20
2019-09-25;18
2019-09-26;21
2019-09-27;21
2019-09-28;19
2019-09-29;19
2019-09-30;20
